,Year,Country,Total Events,Total +AvgTone,Total -AvgTone,Total Netral AvgTone,AvgTone,+AvgTone,-AvgTone,Weighted AvgTone,GDP growth,Inflation,FDI,CAB,Unemployment
92,2005,PHL,7930,7868,12,50,4.77240540872316,4.780422825815269,-0.008017417092113002,4.81134969509554,4.77766781940045,5.82800968788347,1.61441200929476,1.93107825886334,3.79520010948181
93,2006,PHL,10869,10822,10,37,4.836441760410571,4.83879877369222,-0.002357013281656,4.73327649516789,5.24296035576116,4.94902410637846,2.21536627763805,5.69741991666504,4.05229997634888
94,2007,PHL,32605,32492,7,106,4.9290076009542,4.92983323208496,-0.000825631130766,4.86427612191812,6.61666228456504,3.09033098652421,1.95415535734943,5.404357937666,3.43420004844666
95,2008,PHL,51939,51766,7,166,4.7142251768288395,4.71449262087827,-0.000267444049439,4.69800497817327,4.1527568434561495,7.54906208822888,0.7692680702964759,0.08267794938937599,3.71989989280701
96,2009,PHL,118034,117737,0,297,4.9791485495957,4.9791485495957,0.0,4.83126865207254,1.14833221939689,2.77324521536318,1.2264980950498,5.018675290759781,3.85809993743896
97,2010,PHL,85205,84919,0,286,5.14955030612164,5.14955030612164,0.0,4.929030375488269,7.63226478049033,4.22238717219361,0.536290787439322,3.59694026956257,3.60509991645813
98,2011,PHL,108795,108281,0,514,5.200892617453531,5.200892617453531,0.0,4.95809240361767,3.6597516012354,4.02172300099879,0.8954774299528109,2.51746678446,3.5922000408172594
99,2012,PHL,113163,112397,0,766,4.945432218545919,4.945432218545919,0.0,4.68627345510332,6.68381888148204,1.96838419449099,1.28569244908673,2.77876864718588,3.50419998168945
100,2013,PHL,101662,99705,0,1957,2.65179469458187,2.65179469458187,0.0,2.56146455723327,7.06402426381545,2.04546754429667,1.37486206345121,4.1876364438331,3.49729990959167
101,2014,PHL,102437,99310,1169,1958,2.61571403657667,2.65368523160282,-0.037971195026160004,2.4868495510763298,6.1452987858692,3.1574375194432798,2.01682578014622,3.77952101302328,3.59990000724792
102,2015,PHL,140968,59914,78204,2850,-0.9309507774805179,1.03299101441043,-1.96394179189091,-1.3017876532723,6.0665489034551,-0.586573663833178,1.92611162697168,2.48166691599405,
103,2016,PHL,179471,53686,122415,3370,-1.90974127892149,0.6548590626980338,-2.56460034161946,-2.5487112430442798,6.87571482288942,1.69909619389745,2.71559358134654,-0.393216590022997,2.70779991149902
104,2017,PHL,162792,46533,113467,2792,-2.25528746296001,0.6646335955299689,-2.91992105848999,-3.05627574061287,6.68451750279448,2.32070851029395,3.20712416774582,-0.802866610296568,2.5518000125885
105,2003,SGP,5272,5257,0,15,5.17841607706732,5.17841607706732,0.0,5.23162245584506,4.435328147081719,-1.70764029576796,17.5785340170205,22.8318509218368,4.19600009918213
106,2004,SGP,3748,3726,0,22,5.633898368771431,5.633898368771431,0.0,5.66942519557259,9.549175476457119,4.2499030574394,21.3596831843793,18.1878439084477,4.40000009536743
107,2005,SGP,3202,3187,2,13,5.63802707886886,5.63905146760301,-0.0010243887341489998,5.75362207414582,7.48915745881868,2.22616880307329,14.1976598856178,22.0570981174548,3.4000000953674303
108,2006,SGP,5502,5474,6,22,5.865592585226411,5.86829703177358,-0.0027044465471719997,5.786741707084941,8.8601961142317,1.71998437566951,24.9828046090484,25.1290318733002,2.9000000953674303
109,2007,SGP,9927,9896,6,25,5.853912592106661,5.85666399751687,-0.0027514054102079997,5.846893867005661,9.11152714756238,5.8609939478857,26.521206815507398,26.058607907656608,2.9000000953674303
