,Year,Country,Total News,Total Neg_AvgTone,Total Pos_AvgTone,Total Netral AvgTone,AvgTone,AvgTone2,Pos_AvgTone,Weighted AvgTone,GDP growth,Inflation,FDI,CAB,TaxRev,Unemployment,GDP Capita,Export,Import,AvgTone_Norm
61,2004,THA,10262,10184.0,0.0,78.0,4.587294037543481,4.622428457705343,4.622428457705343,4.509597810753038,6.289288548619009,3.569164221552509,3.38947905000647,1.59597531920602,14.8533544003675,2.0840001106262203,5.55791416405769,14.6310804727495,20.3049411424136,-0.4482443048016673
62,2005,THA,8349,8240.0,31.0,78.0,4.587054547747722,4.630312951172256,4.6687258280419055,3.9144395654008273,4.1878349237258,5.0914966099465495,4.33958498366303,-4.0364623646694096,16.0618644845,1.84590005874634,3.5138412166071302,7.75971666545969,16.189843251866698,-0.4369422536402734
63,2006,THA,15061,14823.0,20.0,218.0,4.981584836630377,5.0547496614222265,5.066554019364424,4.799154883937268,4.96791682393713,5.10427243645672,4.02125324565952,1.04380672530891,15.6369722360935,1.52260005474091,4.33213087411173,10.7876780938591,2.94340866216504,-0.3033895471216663
64,2007,THA,23303,22996.0,15.0,292.0,4.8354125702248965,4.896771940548033,4.902639708445091,4.7666076070516725,5.43509256989793,2.4733287620729505,3.28356903025998,5.9266535755126,15.143146546277,1.3832999467849698,4.84345261655388,8.89374979907447,4.20038055732846,-0.4064022809258043
65,2008,THA,35852,35588.0,12.0,252.0,4.734834736223781,4.768350982109409,4.771706895439017,4.653225246654414,1.72566790833977,5.13377532094729,2.93824805764496,0.319466043143198,15.384881649526301,1.39049994945526,1.19041616593324,6.2636244731870185,11.398641794841199,-0.40775765831858646
66,2009,THA,55034,54667.0,0.0,367.0,4.942713004547388,4.9758952840335295,4.9758952840335295,4.798406575796469,-0.690733346164549,0.194743196002392,2.27590655851546,7.87657444601681,14.194247004966302,1.4952000379562398,-1.18980045036515,-12.1402858662377,-20.7722933385969,-0.32133251011893105
67,2010,THA,47959,47707.0,0.0,252.0,4.7404255303942735,4.765465613268053,4.765465613268053,4.5047707388131135,7.513590657975099,4.08097180495979,4.3232061999186495,3.36732227150433,14.9326392645699,0.621500015258789,6.990584791789999,14.2202617102756,22.955528530022203,-0.49915166576637393
68,2011,THA,65697,65384.0,0.0,313.0,4.820258450108798,4.843333528031288,4.843333528031288,4.50185301206283,0.839959472432227,3.74310800626228,0.6670876305649079,2.54217090999368,16.361852158515,0.6600000262260439,0.360142575032498,9.509416476089427,12.400278443764801,-0.5024255632540182
69,2012,THA,51508,50904.0,0.0,604.0,4.7236310803757044,4.779679193933517,4.779679193933517,4.376978244620732,7.2427866054252386,1.90922873045223,3.2445663280707,-0.427190006930141,15.440940672168601,0.5799999833106989,6.74667712261726,4.90834667072757,5.62959185019412,-0.31965562312834184
70,2013,THA,49144,47050.0,0.0,2094.0,2.51004034025331,2.621751806193596,2.621751806193596,2.363030194698009,2.68737991886854,1.77892498095187,3.79126740597145,-1.15650075742106,16.9091105037737,0.489199995994568,2.236675834595029,2.69143972761718,1.67705288946105,-0.038659429464849016
71,2014,THA,58753,55967.0,803.0,1983.0,2.2118023503853284,2.2890615376464534,2.393925279888974,1.89686799917419,0.984414063833114,1.44146599320337,1.2214522160316998,3.73742281291003,15.6222709734797,0.575600028038025,0.58041749673157,0.155825355478356,-5.29523852967824,-0.14782913626225103
72,2015,THA,72843,25821.0,45549.0,1473.0,-2.0764261691983505,-2.1192813709249747,2.5129087485294597,-3.721659849444831,3.0201739932175697,0.8593465065103629,2.22411360897473,8.00018980228606,16.0280877287348,0.5967000126838679,2.65881352529505,0.6639887326504951,0.00398302059932121,-0.8607773550583762
73,2016,THA,69202,24488.0,43192.0,1522.0,-1.7391401710951095,-1.7782502677323249,2.4917921278412662,-2.6451796823012086,3.28268307477235,2.3608309096704705,0.743945816792562,11.7150307578592,15.509896893692401,0.6880000233650211,2.97384971487935,2.0684770874849496,-1.3586344896703402,-0.07366483397101731
74,2017,THA,53456,20018.0,32338.0,1100.0,-1.6216339345170532,-1.655704477109473,2.5565006359003597,-2.6515042655717966,3.90297504194695,2.3137589615166,1.7451054649758202,10.5721071313883,,,3.6411027211070497,,,-0.001056578073803438
